192.168.100.47
15:21
0
5
S;11;Pillauer Straße 22:01;Fachhochschule 21:56 • Hermannstr. 21:59;21:55;-1
S;11;Wik Kanal 22:55;Seefischmarkt 22:14 • Hbf 22:30 • Dreiecksplatz 22:43 • Ansgarkirche 22:45 • Elendsredder 22:52;22:09;-1
S;11;Pillauer Straße 22:31;Fachhochschule 22:26 • Hermannstr. 22:29;22:25;-1
S;11;Wik Kanal 23:25;Seefischmarkt 22:44 • Hbf 23:00 • Dreiecksplatz 23:13 • Ansgarkirche 23:15 • Elendsredder 23:22;22:39;-1
S;11;Pillauer Straße 23:01;Fachhochschule 22:56 • Hermannstr. 22:59;22:55;-1
S;11;Wik Kanal 23:55;Seefischmarkt 23:14 • Hbf 23:30 • Dreiecksplatz 23:43 • Ansgarkirche 23:45 • Elendsredder 23:52;23:09;-1
S;11;Pillauer Straße 23:31;Fachhochschule 23:26 • Hermannstr. 23:29;23:25;-1
S;11;Wik Kanal 00:25;Seefischmarkt 23:44 • Hbf 00:00 • Dreiecksplatz 00:13 • Ansgarkirche 00:15 • Elendsredder 00:22;23:39;-1
S;11;Hauptbahnhof 00:15;Seefischmarkt 23:59;23:54;-1
S;11;Pillauer Straße 00:01;Fachhochschule 23:56 • Hermannstr. 23:59;23:55;-1
S;11;Pillauer Straße 00:31;Fachhochschule 00:26 • Hermannstr. 00:29;00:25;-1
S;11N;Pillauer Straße 00:43;Fachhochschule 00:38 • Hermannstr. 00:41;00:37;-1
S;11N;Wik Kanal 01:38;Seefischmarkt 01:02 • Hbf 01:15 • Dreiecksplatz 01:27 • Ansgarkirche 01:29 • Elendsredder 01:35;00:59;-1
S;11N;Pillauer Straße 01:43;Fachhochschule 01:38 • Hermannstr. 01:41;01:37;-1
S;11N;Wik Kanal 02:38;Seefischmarkt 02:02 • Hbf 02:15 • Dreiecksplatz 02:27 • Ansgarkirche 02:29 • Elendsredder 02:35;01:59;-1
S;11N;Pillauer Straße 02:43;Fachhochschule 02:38 • Hermannstr. 02:41;02:37;-1
S;11N;Wik Kanal 03:38;Seefischmarkt 03:02 • Hbf 03:15 • Dreiecksplatz 03:27 • Ansgarkirche 03:29 • Elendsredder 03:35;02:59;-1
S;11N;Pillauer Straße 03:43;Fachhochschule 03:38 • Hermannstr. 03:41;03:37;-1
S;11N;Hauptbahnhof 04:15;Seefischmarkt 04:02;03:59;-1
S;11;Pillauer Straße 04:46;Fachhochschule 04:41 • Hermannstr. 04:44;04:40;-1
S;11;Wik Kanal 05:37;Seefischmarkt 05:01 • Hbf 05:17 • Dreiecksplatz 05:25 • Ansgarkirche 05:27 • Elendsredder 05:34;04:56;-1
F;F2;Reventloubrücke 05:21;Wellingdorf 05:09;05:03;-1
S;11;Wik Kanal 05:54;Seefischmarkt 05:18 • Hbf 05:34 • Dreiecksplatz 05:42 • Ansgarkirche 05:44 • Elendsredder 05:51;05:13;-1
S;11;Wik Kanal 06:09;Seefischmarkt 05:33 • Hbf 05:49 • Dreiecksplatz 05:57 • Ansgarkirche 05:59 • Elendsredder 06:06;05:28;-1
F;F2;Reventloubrücke 05:51;Wellingdorf 05:39;05:33;-1
S;11;Pillauer Straße 05:41;Fachhochschule 05:36 • Hermannstr. 05:39;05:35;-1
S;11;Wik Kanal 06:24;Seefischmarkt 05:48 • Hbf 06:04 • Dreiecksplatz 06:12 • Ansgarkirche 06:14 • Elendsredder 06:21;05:43;-1
S;11;Pillauer Straße 06:01;Fachhochschule 05:56 • Hermannstr. 05:59;05:55;-1
S;11;Wik Kanal 06:40;Seefischmarkt 06:01 • Hbf 06:19 • Dreiecksplatz 06:27 • Ansgarkirche 06:29 • Elendsredder 06:36;05:56;-1
F;F2;Reventloubrücke 06:21;Wellingdorf 06:09;06:03;-1
S;11;Wik Kanal 06:50;Seefischmarkt 06:11 • Hbf 06:29 • Dreiecksplatz 06:37 • Ansgarkirche 06:39 • Elendsredder 06:46;06:06;-1
S;11;Pillauer Straße 06:16;Fachhochschule 06:11 • Hermannstr. 06:14;06:10;-1
S;11;Wik Kanal 06:57;Seefischmarkt 06:18 • Hbf 06:36 • Dreiecksplatz 06:44 • Ansgarkirche 06:46 • Elendsredder 06:53;06:13;-1
S;11;Pillauer Straße 06:26;Fachhochschule 06:21 • Hermannstr. 06:24;06:20;-1
S;11;Wik Kanal 07:05;Seefischmarkt 06:26 • Hbf 06:44 • Dreiecksplatz 06:52 • Ansgarkirche 06:54 • Elendsredder 07:01;06:21;-1
S;11;Wik Kanal 07:12;Seefischmarkt 06:33 • Hbf 06:51 • Dreiecksplatz 06:59 • Ansgarkirche 07:01 • Elendsredder 07:08;06:28;-1
F;F2;Reventloubrücke 06:51 -> F1 Bahnhof ab 07:20;Wellingdorf 06:39;06:33;-1
S;11;Pillauer Straße 06:41;Fachhochschule 06:36 • Hermannstr. 06:39;06:35;-1
S;11;Wik Kanal 07:20;Seefischmarkt 06:41 • Hbf 06:59 • Dreiecksplatz 07:07 • Ansgarkirche 07:09 • Elendsredder 07:16;06:36;-1
S;11;Wik Kanal 07:27;Seefischmarkt 06:48 • Hbf 07:06 • Dreiecksplatz 07:14 • Ansgarkirche 07:16 • Elendsredder 07:23;06:43;-1
S;11;Pillauer Straße 06:51;Fachhochschule 06:46 • Hermannstr. 06:49;06:45;-1
S;11;Wik Kanal 07:35;Seefischmarkt 06:56 • Hbf 07:14 • Dreiecksplatz 07:22 • Ansgarkirche 07:24 • Elendsredder 07:31;06:51;-1
S;11;Pillauer Straße 06:58;Fachhochschule 06:53 • Hermannstr. 06:56;06:52;-1
S;11;Wik Kanal 07:42;Seefischmarkt 07:03 • Hbf 07:21 • Dreiecksplatz 07:29 • Ansgarkirche 07:31 • Elendsredder 07:38;06:58;-1
S;11;Pillauer Straße 07:06;Fachhochschule 07:01 • Hermannstr. 07:04;07:00;-1
F;F2;Reventloubrücke 07:21;Wellingdorf 07:09;07:03;-1
S;11;Wik Kanal 07:50;Seefischmarkt 07:11 • Hbf 07:29 • Dreiecksplatz 07:37 • Ansgarkirche 07:39 • Elendsredder 07:46;07:06;-1
S;11;Pillauer Straße 07:13;Fachhochschule 07:08 • Hermannstr. 07:11;07:07;-1
S;11;Wik Kanal 07:57;Seefischmarkt 07:18 • Hbf 07:36 • Dreiecksplatz 07:44 • Ansgarkirche 07:46 • Elendsredder 07:53;07:13;-1
S;11;Pillauer Straße 07:21;Fachhochschule 07:16 • Hermannstr. 07:19;07:15;-1
F;F2;Reventloubrücke 07:36;Wellingdorf 07:24;07:18;-1
S;11;Wik Kanal 08:05;Seefischmarkt 07:26 • Hbf 07:44 • Dreiecksplatz 07:52 • Ansgarkirche 07:54 • Elendsredder 08:01;07:21;-1
S;60S;Botanischer Garten 07:55;Seefischmarkt 07:25 • Hbf 07:37 • Dreiecksplatz 07:45 • Ansgarkirche 07:47 • Universität 07:50;07:21;-1
S;11;Pillauer Straße 07:28;Fachhochschule 07:23 • Hermannstr. 07:26;07:22;-1
S;14;Geschwister-Scholl-Straße 07:31; ;07:22;-1
S;11;Wik Kanal 08:12;Seefischmarkt 07:33 • Hbf 07:51 • Dreiecksplatz 07:59 • Ansgarkirche 08:01 • Elendsredder 08:08;07:28;-1
S;11;Pillauer Straße 07:36;Fachhochschule 07:31 • Hermannstr. 07:34;07:30;-1
F;F2;Reventloubrücke 07:51;Wellingdorf 07:39;07:33;-1
S;11;Wik Kanal 08:20;Seefischmarkt 07:41 • Hbf 07:59 • Dreiecksplatz 08:07 • Ansgarkirche 08:09 • Elendsredder 08:16;07:36;-1
S;60S;Botanischer Garten 08:10;Seefischmarkt 07:40 • Hbf 07:52 • Dreiecksplatz 08:00 • Ansgarkirche 08:02 • Universität 08:05;07:36;-1
S;11;Pillauer Straße 07:43;Fachhochschule 07:38 • Hermannstr. 07:41;07:37;-1
S;11;Wik Kanal 08:27;Seefischmarkt 07:48 • Hbf 08:06 • Dreiecksplatz 08:14 • Ansgarkirche 08:16 • Elendsredder 08:23;07:43;-1
S;11;Pillauer Straße 07:51;Fachhochschule 07:46 • Hermannstr. 07:49;07:45;-1
F;F2;Reventloubrücke 08:06 -> F1 Bahnhof ab 08:25;Wellingdorf 07:54;07:48;-1
S;11;Wik Kanal 08:35;Seefischmarkt 07:56 • Hbf 08:14 • Dreiecksplatz 08:22 • Ansgarkirche 08:24 • Elendsredder 08:31;07:51;-1
S;60S;Botanischer Garten 08:25;Seefischmarkt 07:55 • Hbf 08:07 • Dreiecksplatz 08:15 • Ansgarkirche 08:17 • Universität 08:20;07:51;-1
S;11;Pillauer Straße 07:58;Fachhochschule 07:53 • Hermannstr. 07:56;07:52;-1
S;11;Wik Kanal 08:42;Seefischmarkt 08:03 • Hbf 08:21 • Dreiecksplatz 08:29 • Ansgarkirche 08:31 • Elendsredder 08:38;07:58;-1
S;11;Pillauer Straße 08:06;Fachhochschule 08:01 • Hermannstr. 08:04;08:00;-1
F;F2;Reventloubrücke 08:21 -> F1 Bahnhof ab 08:25;Wellingdorf 08:09;08:03;-1
S;11;Wik Kanal 08:50;Seefischmarkt 08:11 • Hbf 08:29 • Dreiecksplatz 08:37 • Ansgarkirche 08:39 • Elendsredder 08:46;08:06;-1
S;60S;Botanischer Garten 08:40;Seefischmarkt 08:10 • Hbf 08:22 • Dreiecksplatz 08:30 • Ansgarkirche 08:32 • Universität 08:35;08:06;-1
S;11;Pillauer Straße 08:13;Fachhochschule 08:08 • Hermannstr. 08:11;08:07;-1
S;11;Wik Kanal 08:57;Seefischmarkt 08:18 • Hbf 08:36 • Dreiecksplatz 08:44 • Ansgarkirche 08:46 • Elendsredder 08:53;08:13;-1
S;11;Pillauer Straße 08:21;Fachhochschule 08:16 • Hermannstr. 08:19;08:15;-1
F;F2;Reventloubrücke 08:36 -> F1 Laboe ab 08:55;Wellingdorf 08:24;08:18;-1
S;11;Wik Kanal 09:05;Seefischmarkt 08:26 • Hbf 08:44 • Dreiecksplatz 08:52 • Ansgarkirche 08:54 • Elendsredder 09:01;08:21;-1
S;60S;Botanischer Garten 08:55;Seefischmarkt 08:25 • Hbf 08:37 • Dreiecksplatz 08:45 • Ansgarkirche 08:47 • Universität 08:50;08:21;-1
S;11;Pillauer Straße 08:28;Fachhochschule 08:23 • Hermannstr. 08:26;08:22;-1
S;11;Wik Kanal 09:12;Seefischmarkt 08:33 • Hbf 08:51 • Dreiecksplatz 08:59 • Ansgarkirche 09:01 • Elendsredder 09:08;08:28;-1
S;11;Pillauer Straße 08:36;Fachhochschule 08:31 • Hermannstr. 08:34;08:30;-1
F;F2;Reventloubrücke 08:51 -> F1 Laboe ab 08:55;Wellingdorf 08:39;08:33;-1
S;11;Wik Kanal 09:20;Seefischmarkt 08:41 • Hbf 08:59 • Dreiecksplatz 09:07 • Ansgarkirche 09:09 • Elendsredder 09:16;08:36;-1
